# com1_x,com1_y,com1_x_dot,com1_y_dot,end1_x,end1_y,end1_x_dot,end1_y_dot,com2_x,com2_y,com2_x_dot,com2_y_dot,end2_x,end2_y,end2_x_dot,end2_y_dot,tau_force_1,tau_force_2,tau_grav_comp_1,tau_grav_comp_2
1.639992421178e-01,-4.985827695027e-04,-1.287374891226e-08,-4.234572861256e-06,3.279984842357e-01,-9.971655390053e-04,-2.574749782452e-08,-8.469145722513e-06,4.857985604984e-01,-8.942977736342e-03,-1.096703437664e-07,-1.013581379381e-05,6.435986367611e-01,-1.688878993368e-02,-1.935931897084e-07,-1.180248186511e-05,6.267098468274e-01,2.997085281308e-01,2.261469262195e+00,3.144390343163e-01
1.639992291894e-01,-5.028173421972e-04,4.626715735604e-08,1.509052593536e-05,3.279984583788e-01,-1.005634684394e-03,9.253431471207e-08,3.018105187072e-05,4.857984507099e-01,-8.953113549360e-03,6.570834724221e-07,4.139037425720e-05,6.435984430410e-01,-1.690059241432e-02,1.221632630132e-06,5.259969664368e-05,6.266978506267e-01,2.997050269322e-01,2.261468941461e+00,3.144388670706e-01
1.639992747623e-01,-4.877268141545e-04,1.426591921639e-08,4.796948491261e-06,3.279985495246e-01,-9.754536283091e-04,2.853183843279e-08,9.593896982521e-06,4.857991060067e-01,-8.911723150846e-03,8.661555688400e-07,2.624876113570e-05,6.435996624888e-01,-1.684799267338e-02,1.703779299247e-06,4.290362528889e-05,6.267516698154e-01,2.997285739192e-01,2.261470606661e+00,3.144399912215e-01
1.639992889580e-01,-4.829298654553e-04,-9.304706991221e-09,-3.159807333689e-06,3.279985779161e-01,-9.658597309106e-04,-1.860941398244e-08,-6.319614667379e-06,4.857999711430e-01,-8.885474345122e-03,-9.264715292930e-07,-2.440911947698e-05,6.436013643700e-01,-1.680508895933e-02,-1.834333644604e-06,-4.249862428658e-05,6.267962754106e-01,2.997635572255e-01,2.261472442529e+00,3.144416585543e-01
1.639992796229e-01,-4.860896726992e-04,-6.038343565171e-08,-2.037245492801e-05,3.279985592458e-01,-9.721793453983e-04,-1.207668713034e-07,-4.074490985602e-05,4.857990435738e-01,-8.909883412344e-03,-9.705512274965e-07,-5.763850803639e-05,6.435995279018e-01,-1.684758747929e-02,-1.820335583690e-06,-7.453210621675e-05,6.267519404225e-01,2.997255605221e-01,2.261470520590e+00,3.144398474442e-01
1.639992179741e-01,-5.064621238243e-04,7.578853623181e-08,2.454134295289e-05,3.279984359482e-01,-1.012924247649e-03,1.515770724636e-07,4.908268590577e-05,4.857980695875e-01,-8.967521867254e-03,2.115709046609e-06,8.804622884798e-05,6.435977032269e-01,-1.692211948686e-02,4.079841020754e-06,1.270097717902e-04,6.266755837400e-01,2.996900720395e-01,2.261468093566e+00,3.144381523264e-01
1.639992919264e-01,-4.819207752924e-04,-9.781663656907e-09,-3.328733675409e-06,3.279985838528e-01,-9.638415505848e-04,-1.956332731381e-08,-6.657467350819e-06,4.858001768137e-01,-8.879475385155e-03,-8.747310553037e-07,-2.370560683602e-05,6.436017697746e-01,-1.679510921972e-02,-1.729898783294e-06,-4.075374632123e-05,6.268066605549e-01,2.997719182527e-01,2.261472875768e+00,3.144420565525e-01
1.639992821110e-01,-4.852495088683e-04,6.588371438008e-09,2.226665182276e-06,3.279985642219e-01,-9.704990177366e-04,1.317674287602e-08,4.453330364553e-06,4.857993010942e-01,-8.903180945564e-03,4.537496160298e-07,1.321741855845e-05,6.436000379665e-01,-1.683586287339e-02,8.943224891836e-07,2.198150675234e-05,6.267641750931e-01,2.997361098889e-01,2.261471053359e+00,3.144403506745e-01
1.639992886842e-01,-4.830228436414e-04,3.743269979364e-08,1.270941161583e-05,3.279985773685e-01,-9.660456872827e-04,7.486539958727e-08,2.541882323166e-05,4.857997545702e-01,-8.889963514687e-03,-8.185409962604e-08,2.229782652208e-05,6.436009317720e-01,-1.681388134209e-02,-2.385735988393e-07,1.917682981249e-05,6.267870504299e-01,2.997545187487e-01,2.261472008817e+00,3.144412280935e-01
1.639993256245e-01,-4.703134305878e-04,-4.494347174562e-09,-1.567188725249e-06,3.279986512489e-01,-9.406268611756e-04,-8.988694349124e-09,-3.134377450498e-06,4.857996717003e-01,-8.867665683739e-03,1.215547875572e-06,2.124207946348e-05,6.436006921517e-01,-1.679470450630e-02,2.440084445493e-06,4.561853637745e-05,6.268059876454e-01,2.997479632577e-01,2.261472135031e+00,3.144409157462e-01
