# theta1,theta2,theta1_dot,theta2_dot
-2.923092572018504143e-03,2.508559989929199219e+01,-9.374693036079406738e-06,-1.678466796875000000e-04
-2.932467265054583549e-03,2.508543205261230469e+01,-8.102250285446643829e-05,-5.722045898437500000e-06
-3.013489767909049988e-03,2.508542633056640625e+01,5.391333252191543579e-05,1.602172851562500000e-04
-2.959576435387134552e-03,2.508558654785156250e+01,-8.056708611547946930e-05,-1.163482666015625000e-04
-3.040143521502614021e-03,2.508547019958496094e+01,-2.582068555057048798e-05,1.525878906250000000e-05
-3.065964207053184509e-03,2.508548545837402344e+01,9.201583452522754669e-05,-2.098083496093750000e-05
-2.973948372527956963e-03,2.508546447753906250e+01,2.924981527030467987e-05,7.629394531250000000e-05
-2.944698557257652283e-03,2.508554077148437500e+01,-1.926720142364501953e-05,-9.536743164062500000e-05
-2.963965758681297302e-03,2.508544540405273438e+01,-1.242228318005800247e-04,1.716613769531250000e-05
-3.088188590481877327e-03,2.508546257019042969e+01,1.496430486440658569e-04,9.727478027343750000e-05
-2.938545541837811470e-03,2.508555984497070312e+01,-2.029724419116973877e-05,-8.773803710937500000e-05
-2.958842786028981209e-03,2.508547210693359375e+01,1.357728615403175354e-05,4.196166992187500000e-05
-2.945265499874949455e-03,2.508551406860351562e+01,7.749674841761589050e-05,-9.727478027343750000e-05
-2.867768751457333565e-03,2.508541679382324219e+01,-9.556068107485771179e-06,1.640319824218750000e-04
-2.877324819564819336e-03,2.508558082580566406e+01,-4.667975008487701416e-05,-9.727478027343750000e-05
-2.924004569649696350e-03,2.508548355102539062e+01,-6.474088877439498901e-05,-3.051757812500000000e-05
-2.988745458424091339e-03,2.508545303344726562e+01,-1.161661930382251740e-05,0.000000000000000000e+00
-3.000362077727913857e-03,2.508545303344726562e+01,1.666857860982418060e-05,-3.242492675781250000e-05
-2.983693499118089676e-03,2.508542060852050781e+01,3.834231756627559662e-05,-1.907348632812500000e-06
-2.945351181551814079e-03,2.508541870117187500e+01,3.532809205353260040e-05,-1.335144042968750000e-05
-2.910023089498281479e-03,2.508540534973144531e+01,2.667447552084922791e-05,7.820129394531250000e-05
-2.883348613977432251e-03,2.508548355102539062e+01,-1.064967364072799683e-06,1.068115234375000000e-04
-2.884413581341505051e-03,2.508559036254882812e+01,-7.376703433692455292e-05,-1.792907714843750000e-04
-2.958180615678429604e-03,2.508541107177734375e+01,-3.464752808213233948e-06,-1.907348632812500000e-05
-2.961645368486642838e-03,2.508539199829101562e+01,-7.704831659793853760e-06,6.484985351562500000e-05
-2.969350200146436691e-03,2.508545684814453125e+01,-1.360126771032810211e-05,9.536743164062500000e-05
-2.982951467856764793e-03,2.508555221557617188e+01,4.917383193969726562e-07,-1.144409179687500000e-05
-2.982459729537367821e-03,2.508554077148437500e+01,4.609837196767330170e-05,-4.386901855468750000e-05
-2.936361357569694519e-03,2.508549690246582031e+01,-1.192169729620218277e-04,-1.354217529296875000e-04
-3.055578330531716347e-03,2.508536148071289062e+01,6.524543277919292450e-05,2.670288085937500000e-05
-2.990332897752523422e-03,2.508538818359375000e+01,-7.588416337966918945e-06,6.866455078125000000e-05
-2.997921314090490341e-03,2.508545684814453125e+01,-5.350913852453231812e-06,-9.536743164062500000e-06
-3.003272227942943573e-03,2.508544731140136719e+01,1.290142536163330078e-04,-2.479553222656250000e-05
-2.874257974326610565e-03,2.508542251586914062e+01,-7.959362119436264038e-05,2.670288085937500000e-05
-2.953851595520973206e-03,2.508544921875000000e+01,-1.162372063845396042e-04,8.583068847656250000e-05
-3.070088801905512810e-03,2.508553504943847656e+01,1.428585965186357498e-04,-5.912780761718750000e-05
